Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.0127685,0.016670213,05/04/2018 10:49:43,59.95641907,1,1,0,2.961919785,0,0,0,0,0,0,0,0,0,0,0:00:59.956,20.31018448,20.74684143
2,120.0160928,0.033337804,05/04/2018 10:50:43,119.9597433,1,1,0,2.961919785,0,0,0,0,0,0,0,0,0,0,0:01:59.960,20.28415489,20.4223175
3,180.0194026,0.05000539,05/04/2018 10:51:43,179.9630532,1,1,0,2.961919785,0,0,0,0,0,0,0,0,0,0,0:02:59.963,20.34575272,20.55852509
4,240.0227685,0.066672991,05/04/2018 10:52:43,239.9664191,1,1,0,2.961919785,0,0,0,0,0,0,0,0,0,0,0:03:59.966,20.34575272,20.78235245
5,300.0261375,0.083340594,05/04/2018 10:53:43,299.9697881,1,1,0,2.961919785,0,0,0,0,0,0,0,0,0,0,0:04:59.970,20.30194283,20.58932114
6,300.0574365,0.083349288,05/04/2018 10:53:43,300.0010871,1,1,0,2.961919785,0,0,0,0,0,0,0,0,0,0,0:05:00.001,20.30194283,20.58932114
7,300.0854966,0.083357082,05/04/2018 10:53:44,0.015741029,2,1,1.474361897,3.04597044,6.44666E-06,4.490862755,0,1.96363E-05,0,0,0,0,0,0,0:05:00.029,20.45115662,20.51470566
8,308.8984115,0.085805114,05/04/2018 10:53:53,8.828655717,2,1,1.476204634,3.096522808,0.003619017,4.571101318,0,0.011135376,0,0.00423674,0,0,0,0,0:05:08.842,20.40735245,20.62011528
9,324.7430689,0.090206408,05/04/2018 10:54:08,24.67331312,2,1,1.474361897,3.146770477,0.010114951,4.639478489,0,0.031422769,0,0.002844651,0,0,0,0,0:05:24.687,20.30194283,20.51470566
10,346.7286488,0.096313514,05/04/2018 10:54:30,46.65889304,2,1,1.476204634,3.197018147,0.019128443,4.719453002,0,0.060022904,0,0.00205146,0,0,0,0,0:05:46.672,20.37655258,20.51470566
