Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.01540328,0.016670945,10/11/2018 13:00:33,59.97157024,1,1,0,2.875265598,0,0,0,0,0,0,0,0,0,0,0:00:59.972,20.69703865,21.05612373
2,120.0183108,0.03333842,10/11/2018 13:01:33,119.974478,1,1,0,2.875265598,0,0,0,0,0,-6.03242E-05,0,0,0,0,0:01:59.974,20.71039391,20.84556389
3,180.021131,0.05000587,10/11/2018 13:02:33,179.977298,1,1,0,2.875570059,0,0,0,0,0,6.07041E-05,0,0,0,0,0:02:59.977,20.78513718,20.99474907
4,240.0240147,0.066673337,10/11/2018 13:03:33,239.9801817,1,1,0,2.875570059,0,0,0,0,0,0,0,0,0,0,0:03:59.980,20.72374916,20.9333725
5,300.027072,0.083340853,10/11/2018 13:04:33,299.9832393,1,1,0,2.875570059,0,0,0,0,0,0,0,0,0,0,0:04:59.983,20.56089211,20.69635773
6,300.0581683,0.083349491,10/11/2018 13:04:33,300.0143353,1,1,0,2.875570059,0,0,0,0,0,0,0,0,0,0,0:05:00.014,20.63564491,20.69635773
7,300.0741104,0.08335392,10/11/2018 13:04:34,0.015628199,2,1,1.471795917,2.940728903,6.38931E-06,4.328152791,0,1.87892E-05,0,0,0,0,0,0,0:05:00.030,20.56089211,20.5471344
8,307.8244739,0.085506798,10/11/2018 13:04:42,7.765991684,2,1,1.471795917,2.990968227,0.003175983,4.402094824,0,0.009435145,0,0.005067525,0,0,0,0,0:05:07.781,20.69703865,20.90694618
9,321.6688884,0.089352469,10/11/2018 13:04:55,21.61040604,2,1,1.471795917,3.041207314,0.00883812,4.476036505,0,0.026521861,0,0.003187477,0,0,0,0,0:05:21.625,20.39801407,20.83234978
10,341.7323445,0.094925651,10/11/2018 13:05:15,41.6738623,2,1,1.471795917,3.091751099,0.017043347,4.550426642,0,0.051695092,0,0.00223905,0,0,0,0,0:05:41.689,20.60894012,20.96833229
11,370.7493572,0.102985933,10/11/2018 13:05:44,70.69087487,2,1,1.471795917,3.141990423,0.02890925,4.624368675,0,0.088695496,0,0.001508196,0,0,0,0,0:06:10.706,20.83317757,21.11750221
