Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.00134975,0.016667042,04/24/2018 16:24:32,59.90960403,1,1,0,2.972911358,0,0,0,0,0,6.05106E-05,0,0,0,0,0:00:59.910,18.92593956,19.50239182
2,120.0046905,0.033334636,04/24/2018 16:25:32,119.9129448,1,1,0,2.972911358,0,0,0,0,0,0,0,0,0,0,0:01:59.913,18.88162422,19.15904045
3,180.0079517,0.050002209,04/24/2018 16:26:32,179.916206,1,1,0,2.972911358,0,0,0,0,0,6.05107E-05,0,0,0,0,0:02:59.916,18.88162422,19.45838928
4,240.0148329,0.066670787,04/24/2018 16:27:32,239.9230873,1,1,0,2.972911358,0,0,0,0,0,0,0,0,0,0,0:03:59.923,19.00498199,19.20752716
5,300.0151171,0.083337533,04/24/2018 16:28:32,299.9233715,1,1,0,2.972911358,0,0,0,0,0,0,0,0,0,0,0:04:59.923,18.91636467,19.26919556
6,300.0927029,0.083359084,04/24/2018 16:28:32,300.0009571,1,1,0,2.972911358,0,0,0,0,0,0,0,0,0,0,0:05:00.001,18.91636467,19.26919556
7,300.1012512,0.083361459,04/24/2018 16:28:32,0.008049191,2,1,1.466566801,3.058186531,3.27908E-06,4.485034838,0,1.0028E-05,0,0,0,0,0,0,0:05:00.009,18.9029007,19.18118477
8,307.6792146,0.085466448,04/24/2018 16:28:40,7.586012759,2,1,1.468359947,3.108742476,0.003092309,4.564752937,0,0.009557594,0,0.004507052,0,0,0,0,0:05:07.587,19.05319786,19.33086586
9,323.2443712,0.089790103,04/24/2018 16:28:55,23.15116936,2,1,1.468359947,3.158993721,0.009437664,4.638539853,0,0.029452389,0,0.002843777,0,0,0,0,0:05:23.153,19.19001579,19.39253044
10,344.8999064,0.09580553,04/24/2018 16:29:17,44.8067043,2,1,1.468359947,3.209245205,0.01826527,4.71232712,0,0.057572597,0,0.00205802,0,0,0,0,0:05:44.808,18.87205505,19.44969559
