Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.001246,0.016667013,10/11/2018 13:00:05,59.94180768,1,1,0,2.871371269,0,0,0,0,0,0,0,0,0,0,0:00:59.942,18.72604942,21.06933403
2,120.002654,0.033334071,10/11/2018 13:01:05,119.9432156,1,1,0,2.871066809,0,0,0,0,0,-5.95858E-05,0,0,0,0,0:01:59.943,18.65112686,21.06933403
3,180.0054769,0.050001521,10/11/2018 13:02:05,179.9460384,1,1,0,2.871371269,0,0,0,0,0,0,0,0,0,0,0:02:59.946,18.814394,21.08254623
4,240.0083636,0.06666899,10/11/2018 13:03:05,239.9489252,1,1,0,2.87167573,0,0,0,0,0,0,0,0,0,0,0:03:59.949,18.96421432,20.63496399
5,300.011242,0.083336456,10/11/2018 13:04:05,299.9518037,1,1,0,2.87167573,0,0,0,0,0,0,0,0,0,0,0:04:59.952,18.72604942,20.69635773
6,300.0737254,0.083353813,10/11/2018 13:04:06,300.0142871,1,1,0,2.87167573,0,0,0,0,0,0,0,0,0,0,0:05:00.014,18.71262169,20.83234978
7,300.0895916,0.08335822,10/11/2018 13:04:06,0.015522513,2,1,1.47802186,2.938968897,6.37295E-06,4.343860276,0,1.87299E-05,0,0,0,0,0,0,0:05:00.030,18.72604942,20.84556389
8,307.8243894,0.085506775,10/11/2018 13:04:14,7.750320714,2,1,1.479794741,2.989210129,0.00318382,4.423417427,0,0.009451768,0,0.005143902,0,0,0,0,0:05:07.765,18.56277084,20.75774956
9,321.5125932,0.089309054,10/11/2018 13:04:28,21.4385244,2,1,1.47802186,3.039451599,0.008806673,4.492375906,0,0.026409955,0,0.003267905,0,0,0,0,0:05:21.453,18.71262169,20.83234978
10,341.09155,0.094747653,10/11/2018 13:04:47,41.01748092,2,1,1.479794741,3.089692831,0.016849889,4.572111202,0,0.051070272,0,0.002299655,0,0,0,0,0:05:41.032,18.51469994,20.9333725
11,369.5304211,0.102647339,10/11/2018 13:05:16,69.456352,2,1,1.47802186,3.139934301,0.028533284,4.640891537,0,0.087476624,0,0.001573475,0,0,0,0,0:06:09.471,18.84903717,20.96833229
12,408.3291479,0.113424763,10/11/2018 13:05:54,108.2550788,2,1,1.479794741,3.190175533,0.044472788,4.720804976,0,0.137942757,0,0.001149806,0,0,0,0,0:06:48.270,19.23695946,20.90694618
13,457.1596162,0.126988782,10/11/2018 13:06:43,157.085547,2,1,1.47802186,3.240417004,0.064533856,4.789407167,0,0.202460127,0,0.000953476,0,0,0,0,0:07:37.100,19.23695946,20.90694618
14,517.1937272,0.143664924,10/11/2018 13:07:43,217.1196581,2,1,1.479794741,3.290658236,0.089197304,4.86949875,0,0.283014744,0,0.000786742,0,0,0,0,0:08:37.134,19.0256958,20.84556389
15,592.6660975,0.164629472,10/11/2018 13:08:59,292.5920284,2,1,1.47802186,3.340899706,0.120203704,4.937922798,0,0.385850818,0,0.000663654,0,0,0,0,0:09:52.607,18.8048687,20.55141068
16,696.7179644,0.193532768,10/11/2018 13:10:43,396.6438953,2,1,1.479794741,3.391140938,0.162954751,5.018192525,0,0.529820984,0,0.000423626,0,0,0,0,0:11:36.659,18.95861816,21.22706795
17,882.5706624,0.245158517,10/11/2018 13:13:49,582.4965933,2,1,1.479794741,3.441382408,0.23931489,5.092539588,0,0.790857554,0,0.000242094,0,0,0,0,0:14:42.511,19.70745087,21.30163765
18,1148.333423,0.318981506,10/11/2018 13:18:14,848.2593537,2,1,1.479794741,3.49162364,0.348513391,5.166886299,0,1.169489974,0,0.000242044,0,0,0,0,0:19:08.274,19.64050102,20.78820419
19,1448.347863,0.402318851,10/11/2018 13:23:14,1148.273794,2,1,1.47802186,3.529380798,0.471784903,5.216501973,0,1.602396696,0,0.000120647,0,0,0,0,0:24:08.288,20.07622337,21.29712486
20,1748.362415,0.485656226,10/11/2018 13:28:14,1448.288346,2,1,1.47802186,3.565006495,0.595068182,5.26915753,0,2.0396676,0,0.000121019,0,0,0,0,0:29:08.303,19.83037376,21.4243927
21,2048.376754,0.568993543,10/11/2018 13:33:14,1748.302686,2,1,1.479794741,3.606722116,0.718336117,5.337208419,0,2.481604004,0,0.000179857,0,0,0,0,0:34:08.317,20.05490875,21.05152893
22,2348.391173,0.652330881,10/11/2018 13:38:14,2048.317104,2,1,1.479794741,3.64935112,0.84157635,5.400290594,0,2.928729498,0,0.000119171,0,0,0,0,0:39:08.332,19.75551987,21.20068932
23,2648.40552,0.7356682,10/11/2018 13:43:14,2348.331451,2,1,1.479794741,3.68923974,0.964842869,5.459317565,0,3.381150472,0,0.000119904,0,0,0,0,0:44:08.346,19.60579681,21.4243927
24,2948.419911,0.819005531,10/11/2018 13:48:15,2648.345842,2,1,1.479794741,3.718775511,1.088130476,5.503024443,0,3.837848176,0,6.0511E-05,0,0,0,0,0:49:08.360,19.78231049,21.15249062
25,3248.434302,0.902342862,10/11/2018 13:53:15,2948.360233,2,1,1.479794741,3.750138283,1.211413805,5.549434908,0,4.298213098,0,0.000120647,0,0,0,0,0:54:08.375,19.74213028,20.81456757
26,3548.448715,0.985680199,10/11/2018 13:58:15,3248.374646,2,1,1.479794741,3.786068439,1.334707515,5.602604165,0,4.762746587,0,0.000120647,0,0,0,0,0:59:08.389,20.46372223,21.3848629
27,3848.463149,1.069017541,10/11/2018 14:03:15,3548.38908,2,1,1.479794741,3.82626152,1.457962897,5.662081674,0,5.231833658,0,0.000180971,0,0,0,0,1:04:08.404,20.25263977,20.95057487
28,4148.477586,1.152354885,10/11/2018 14:08:15,3848.403517,2,1,1.47802186,3.866150141,1.581242196,5.714254423,0,5.706014161,0,0.000121021,0,0,0,0,1:09:08.418,20.27940369,21.12611198
29,4448.492301,1.235692306,10/11/2018 14:13:15,4148.418233,2,1,1.479794741,3.903907299,1.70452569,5.776981489,0,6.184991427,0,0.000180972,0,0,0,0,1:14:08.433,19.8690567,21.16551399
30,4748.506479,1.319029578,10/11/2018 14:18:15,4448.43241,2,1,1.479794741,3.939228535,1.827816229,5.829249668,0,6.66849811,0,0.000121022,0,0,0,0,1:19:08.447,19.9746418,21.3453598
31,5048.520993,1.402366943,10/11/2018 14:23:15,4748.446925,2,1,1.47802186,3.971809387,1.951080103,5.870421099,0,7.15610835,0,0.000120696,0,0,0,0,1:24:08.462,20.53853226,21.60853195
32,5348.535342,1.485704262,10/11/2018 14:28:15,5048.461273,2,1,1.479794741,4.002258778,2.074356161,5.92252149,0,7.64759137,0,0.000121116,0,0,0,0,1:29:08.476,20.07225037,21.2182045
33,5648.550002,1.569041667,10/11/2018 14:33:15,5348.475933,2,1,1.479794741,4.039102077,2.197621799,5.977042011,0,8.143098749,0,0.000121778,0,0,0,0,1:34:08.491,20.59204483,21.51213264
34,5948.564062,1.652378906,10/11/2018 14:38:15,5648.489993,2,1,1.479794741,4.086907864,2.320873047,6.047784762,0,8.64378408,0,0.000121117,0,0,0,0,1:39:08.504,20.49600029,21.19207954
35,6248.578435,1.735716232,10/11/2018 14:43:15,5948.504366,2,1,1.479794741,4.136539936,2.444132995,6.121230042,0,9.15067665,0,0.000121779,0,0,0,0,1:44:08.519,20.50940132,20.98153877
36,6548.592817,1.81905356,10/11/2018 14:48:15,6248.518748,2,1,1.47802186,4.16972971,2.567385995,6.162951662,0,9.662814935,0,0.000121778,0,0,0,0,1:49:08.533,19.95880699,21.0297184
37,6848.607212,1.902390892,10/11/2018 14:53:15,6548.533143,2,1,1.47802186,4.18952179,2.690686384,6.192204788,0,10.17816823,0,0.000120275,0,0,0,0,1:54:08.548,20.06829834,21.06471825
38,6999.911317,1.94441981,10/11/2018 14:55:46,6699.837247,2,1,1.47802186,4.2001791,2.752862346,6.207956526,0,10.4389717,0,0.000121022,0,0,0,0,1:56:39.852,20.72432709,20.89803505
39,6999.911508,1.944419863,10/11/2018 14:55:46,2.41504E-06,3,1,1.47802186,4.2001791,2.752862346,6.207956526,0,10.4389717,0,0.000121022,0,0,0,0,1:56:39.852,20.72432709,20.89803505
40,6999.927186,1.944424218,10/11/2018 14:55:46,0.015681085,3,1,1.508161664,4.200788021,2.752868916,6.335467452,0,10.4389993,0,0,0,0,0,0,1:56:39.868,20.72432709,20.89803505
41,7020.225003,1.950062501,10/11/2018 14:56:06,20.31349762,3,1,1.456746697,4.200788021,2.761212136,6.119484076,0,10.47404759,0,-6.03707E-05,0,0,0,0,1:57:00.166,20.75502968,21.37620354
