Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.00478748,0.016667997,05/04/2018 10:50:27,59.94081105,1,1,0,2.980220795,0,0,0,0,0,0,0,0,0,0,0:00:59.941,19.55395317,19.75321007
2,120.0081933,0.033335609,05/04/2018 10:51:27,119.9442169,1,1,0,2.980220795,0,0,0,0,0,0,0,0,0,0,0:01:59.944,19.46536064,19.8148365
3,180.011503,0.050003195,05/04/2018 10:52:27,179.9475265,1,1,0,2.980220795,0,0,0,0,0,6.05168E-05,0,0,0,0,0:02:59.948,19.49618149,19.84564781
4,240.0148779,0.066670799,05/04/2018 10:53:27,239.9509014,1,1,0,2.980220795,0,0,0,0,0,6.0184E-05,0,0,0,0,0:03:59.951,19.52700424,19.57721519
5,300.021817,0.083339394,05/04/2018 10:54:27,299.9578407,1,1,0,2.980220795,0,0,0,0,0,0,0,0,0,0,0:04:59.958,19.63293648,19.60803604
6,300.0685257,0.083352368,05/04/2018 10:54:27,300.0045494,1,1,0,2.980220795,0,0,0,0,0,6.01435E-05,0,0,0,0,0:05:00.005,19.63293648,19.60803604
7,300.46776,0.083463267,05/04/2018 10:54:28,0.01578979,2,1,1.466566801,3.055140972,6.43244E-06,4.480568322,0,1.9652E-05,0,0,0,0,0,0,0:05:00.404,19.48270988,19.60803604
8,308.9367991,0.085815778,05/04/2018 10:54:37,8.484828561,2,1,1.466566801,3.105392218,0.003458413,4.554265131,0,0.010674918,0,0.004150696,0,0,0,0,0:05:08.873,19.54435921,19.81929779
9,325.0782974,0.090299527,05/04/2018 10:54:53,24.62632691,2,1,1.466566801,3.155948162,0.010037718,4.6284088,0,0.03128249,0,0.002741793,0,0,0,0,0:05:25.014,19.48270988,19.60803604
10,347.6768791,0.096576911,05/04/2018 10:55:16,47.22490867,2,1,1.466566801,3.206199646,0.019249276,4.702105958,0,0.060596565,0,0.001983733,0,0,0,0,0:05:47.613,19.48270988,19.90727425
11,378.7219108,0.105200531,05/04/2018 10:55:47,78.26994028,2,1,1.468359947,3.256450891,0.031904784,4.781642059,0,0.101507219,0,0.001443712,0,0,0,0,0:06:18.658,19.4692421,19.81929779
12,423.7088563,0.117696905,05/04/2018 10:56:32,123.2568858,2,1,1.468359947,3.306702375,0.050243362,4.855429325,0,0.161712332,0,0.000953681,0,0,0,0,0:07:03.645,19.60600662,19.65650558
13,489.6031079,0.136000863,05/04/2018 10:57:37,189.1511373,2,1,1.466566801,3.356953621,0.077105143,4.923196733,0,0.251248363,0,0.000669971,0,0,0,0,0:08:09.539,19.6811142,19.58168793
14,590.7806413,0.164105734,05/04/2018 10:59:19,290.3286708,2,1,1.466566801,3.407204866,0.118349093,4.996893542,0,0.390814043,0,0.000417189,0,0,0,0,0:09:50.717,19.87559128,19.70049858
15,791.7952458,0.219943124,05/04/2018 11:02:40,491.3432754,2,1,1.468359947,3.45745635,0.200295903,5.076790424,0,0.672324154,0,0.000178684,0,0,0,0,0:13:11.731,20.82450294,20.04817581
16,1091.811973,0.303281104,05/04/2018 11:07:40,791.3600024,2,1,1.468359947,3.506793976,0.322607792,5.149235817,0,1.098359426,0,0.000120614,0,0,0,0,0:18:11.748,21.60536003,20.07899284
