Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.00661628,0.016668505,05/04/2018 10:48:34,59.94670073,1,1,0,2.962719202,0,0,0,0,0,0,0,0,0,0,0:00:59.947,19.28262901,20.69831085
2,120.0100187,0.033336116,05/04/2018 10:49:34,119.9501036,1,1,0,2.962719202,0,0,0,0,0,0,0,0,0,0,0:01:59.950,19.6918602,20.73380661
3,180.0132614,0.050003684,05/04/2018 10:50:34,179.9533458,1,1,0,2.962719202,0,0,0,0,0,6.07384E-05,0,0,0,0,0:02:59.953,19.66559219,20.40928459
4,240.016679,0.0666713,05/04/2018 10:51:34,239.9567639,1,1,0,2.962719202,0,0,0,0,0,0,0,0,0,0,0:03:59.957,19.8019886,20.69472504
5,300.01996,0.083338878,05/04/2018 10:52:34,299.9600446,1,1,0,2.962719202,0,0,0,0,0,0,0,0,0,0,0:04:59.960,19.74035645,20.78235245
6,300.0668127,0.083351892,05/04/2018 10:52:34,300.0068972,1,1,0,2.962719202,0,0,0,0,0,0,0,0,0,0,0:05:00.007,19.81511497,20.70774841
7,300.1009732,0.083361381,05/04/2018 10:52:35,0.015608156,2,1,1.473590732,3.037015676,6.3889E-06,4.475318153,0,1.94032E-05,0,0,0,0,0,0,0:05:00.041,19.59082222,20.55852509
8,308.913965,0.085809435,05/04/2018 10:52:44,8.828599961,2,1,1.475364089,3.087256908,0.00361434,4.554827976,0,0.011087617,0,0.004236187,0,0,0,0,0:05:08.854,19.8459301,20.88774109
9,324.8523455,0.090236763,05/04/2018 10:52:59,24.76698043,2,1,1.475364089,3.137498379,0.010140293,4.628952437,0,0.031408336,0,0.002783816,0,0,0,0,0:05:24.792,20.07017517,20.81314278
10,346.9352443,0.096370901,05/04/2018 10:53:22,46.84987926,2,1,1.475364089,3.187739611,0.019182205,4.703076547,0,0.060015591,0,0.00199565,0,0,0,0,0:05:46.875,19.77117348,20.58932114
