Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.0029314,0.016667481,04/24/2018 16:19:48,59.90957155,1,1,0,2.970872402,0,0,0,0,0,-6.06991E-05,0,0,0,0,0:00:59.910,19.8533783,20.44483757
2,120.0062197,0.033335061,04/24/2018 16:20:48,119.9128598,1,1,0,2.970872402,0,0,0,0,0,0,0,0,0,0,0:01:59.913,20.01613426,20.53247833
3,180.0095183,0.050002644,04/24/2018 16:21:48,179.9161584,1,1,0,2.970872402,0,0,0,0,0,-5.95856E-05,0,0,0,0,0:02:59.916,20.22731972,20.59407425
4,240.013005,0.066670279,04/24/2018 16:22:48,239.9196454,1,1,0,2.970872402,0,0,0,0,0,0,0,0,0,0,0:03:59.920,20.16570282,20.53247833
5,300.016161,0.083337823,04/24/2018 16:23:48,299.9228012,1,1,0,2.971176863,0,0,0,0,0,6.0137E-05,0,0,0,0,0:04:59.923,19.95450974,20.69472504
6,300.0943384,0.083359538,04/24/2018 16:23:49,300.0009787,1,1,0,2.971176863,0,0,0,0,0,6.0137E-05,0,0,0,0,0:05:00.001,20.10408592,20.62011528
7,300.1224186,0.083367338,04/24/2018 16:23:49,0.015915493,2,1,1.469061852,3.047297001,6.49468E-06,4.476667774,0,1.97912E-05,0,0,0,0,0,0,0:05:00.029,19.95450974,20.76932907
8,309.5132968,0.085975916,04/24/2018 16:23:58,9.406793714,2,1,1.469061852,3.097840786,0.003838948,4.550919721,0,0.011814837,0,0.004089708,0,0,0,0,0:05:09.420,19.89288521,20.63313866
9,325.9360549,0.090537793,04/24/2018 16:24:15,25.8295518,2,1,1.469061852,3.148079872,0.010541954,4.624724046,0,0.032758063,0,0.002706317,0,0,0,0,0:05:25.843,19.84889984,20.44008255
10,348.7498083,0.096874947,04/24/2018 16:24:38,48.6433052,2,1,1.469061852,3.198319197,0.019853147,4.698528721,0,0.062316176,0,0.001972495,0,0,0,0,0:05:48.656,19.89288521,20.4839077
11,380.595327,0.105720924,04/24/2018 16:25:10,80.48882387,2,1,1.469061852,3.248558521,0.032850814,4.772333396,0,0.104232092,0,0.001391833,0,0,0,0,0:06:20.502,19.87971306,20.69472504
12,426.8791222,0.118577534,04/24/2018 16:25:56,126.7726191,2,1,1.469061852,3.298797607,0.051741205,4.846137721,0,0.166102543,0,0.000910532,0,0,0,0,0:07:06.786,19.81808472,20.55852509
13,493.2733812,0.137020384,04/24/2018 16:27:02,193.1668781,2,1,1.469061852,3.349036932,0.078840872,4.919942396,0,0.256216094,0,0.000665664,0,0,0,0,0:08:13.180,19.86654472,20.45785713
14,591.6226012,0.164339611,04/24/2018 16:28:41,291.5160983,2,1,1.469061852,3.399276018,0.118984926,4.993746721,0,0.391736534,0,0.000487108,0,0,0,0,0:09:51.529,19.75225258,20.64266205
15,776.4764587,0.215687905,04/24/2018 16:31:45,476.3699556,2,1,1.469061852,3.449515343,0.19443641,5.067551396,0,0.650329473,0,0.000302552,0,0,0,0,0:12:56.383,20.90460777,20.59884644
16,1061.870783,0.294964106,04/24/2018 16:36:31,761.7642797,2,1,1.470853925,3.499754667,0.310926702,5.147627888,0,1.055181501,0,0.00018084,0,0,0,0,0:17:41.777,21.89337349,20.7658596
