Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.0100853,0.016669468,05/04/2018 10:50:57,59.94257297,1,1,0,2.981381178,0,0,0,0,0,5.95933E-05,0,0,0,0,0:00:59.943,20.1384964,20.00842667
2,120.0234138,0.033339837,05/04/2018 10:51:57,119.9559014,1,1,0,2.981381178,0,0,0,0,0,0,0,0,0,0,0:01:59.956,20.20010185,19.84564781
3,180.0268526,0.050007459,05/04/2018 10:52:57,179.9593402,1,1,0,2.981381178,0,0,0,0,0,0,0,0,0,0,0:02:59.959,20.20010185,19.84564781
4,240.0301926,0.066675053,05/04/2018 10:53:57,239.9626801,1,1,0,2.981076479,0,0,0,0,0,-5.96322E-05,0,0,0,0,0:03:59.963,20.30584335,19.80165482
5,300.0335586,0.083342655,05/04/2018 10:54:57,299.9660462,1,1,0,2.981381178,0,0,0,0,0,0,0,0,0,0,0:04:59.966,20.24838066,19.96890068
6,300.0804422,0.083355678,05/04/2018 10:54:57,300.0129298,1,1,0,2.981381178,0,0,0,0,0,0,0,0,0,0,0:05:00.013,20.24838066,19.96890068
7,300.0964935,0.083360137,05/04/2018 10:54:57,0.015565525,2,1,1.471984982,3.063328028,6.36451E-06,4.509172853,0,1.94966E-05,0,0,0,0,0,0,0:05:00.029,20.26170921,19.90727425
8,308.7063528,0.085751765,05/04/2018 10:55:06,8.625424711,2,1,1.471984982,3.113592863,0.003527584,4.583161936,0,0.010917441,0,0.004177648,0,0,0,0,0:05:08.639,20.11182213,19.83246994
9,324.9103964,0.090252888,05/04/2018 10:55:22,24.8294684,2,1,1.473770857,3.163857698,0.010155379,4.662801271,0,0.031730241,0,0.00278509,0,0,0,0,0:05:24.843,20.11182213,19.83246994
10,347.8179444,0.096616096,05/04/2018 10:55:45,47.73701637,2,1,1.473770857,3.214122534,0.019525137,4.736880121,0,0.061622139,0,0.001937462,0,0,0,0,0:05:47.750,20.14262772,19.71367073
11,379.4948753,0.105415243,05/04/2018 10:56:16,79.41394721,2,1,1.473770857,3.264387131,0.032481799,4.810958619,0,0.103611356,0,0.00138728,0,0,0,0,0:06:19.427,20.27918625,19.70049858
