Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.00768203,0.016668801,04/24/2018 16:25:24,59.90962313,1,1,0,2.976586342,0,0,0,0,0,0,0,0,0,0,0:00:59.910,19.70604515,19.23388481
2,120.0143573,0.033337321,04/24/2018 16:26:24,119.9162985,1,1,0,2.976586342,0,0,0,0,0,0,0,0,0,0,0:01:59.916,19.70604515,19.53321457
3,180.0299031,0.050008306,04/24/2018 16:27:24,179.9318441,1,1,0,2.976890802,0,0,0,0,0,6.00967E-05,0,0,0,0,0:02:59.932,19.61816406,19.14585876
4,240.0331873,0.066675885,04/24/2018 16:28:24,239.9351283,1,1,0,2.976586342,0,0,0,0,0,0,0,0,0,0,0:03:59.935,19.59192848,19.1943531
5,300.0364895,0.083343469,04/24/2018 16:29:24,299.9384305,1,1,0,2.976586342,0,0,0,0,0,0,0,0,0,0,0:04:59.938,19.81620789,19.34403419
6,300.0990941,0.083360859,04/24/2018 16:29:24,300.0010352,1,1,0,2.976586342,0,0,0,0,0,-6.05099E-05,0,0,0,0,0:05:00.001,19.81620789,19.34403419
7,300.133938,0.083370538,04/24/2018 16:29:25,0.015606621,2,1,1.473155975,3.051816225,6.38639E-06,4.495801308,0,1.94901E-05,0,0,0,0,0,0,0:05:00.036,19.80309868,19.40570068
8,308.0562935,0.085571193,04/24/2018 16:29:33,7.937962153,2,1,1.474972606,3.102071047,0.003250062,4.575469815,0,0.010022597,0,0.004405232,0,0,0,0,0:05:07.958,19.80309868,19.40570068
9,323.6198269,0.089894396,04/24/2018 16:29:49,23.50149572,2,1,1.473155975,3.152325869,0.009622698,4.64386769,0,0.029960739,0,0.002844923,0,0,0,0,0:05:23.522,19.87784958,19.25602722
10,345.4645723,0.095962381,04/24/2018 16:30:10,45.34624091,2,1,1.473155975,3.20258069,0.01856718,4.717900881,0,0.058392505,0,0.002045415,0,0,0,0,0:05:45.367,19.80309868,19.25602722
11,375.7789368,0.104383038,04/24/2018 16:30:41,75.66060551,2,1,1.474972606,3.252835512,0.030980475,4.797843271,0,0.098475538,0,0.001513274,0,0,0,0,0:06:15.681,19.83391571,19.43652916
12,419.5972133,0.116554781,04/24/2018 16:31:25,119.478882,2,1,1.474972606,3.303090334,0.0489223,4.871967757,0,0.157314879,0,0.000967815,0,0,0,0,0:06:59.499,19.86473846,19.31769562
13,483.6909386,0.134358594,04/24/2018 16:32:29,183.5726073,2,1,1.473155975,3.353345156,0.075164528,4.940000454,0,0.244691857,0,0.000724111,0,0,0,0,0:08:03.593,20.01422691,19.24285698
14,579.7589036,0.16104414,04/24/2018 16:34:05,279.6405725,2,1,1.473155975,3.403599977,0.114499049,5.014033645,0,0.37764742,0,0.000484207,0,0,0,0,0:09:39.661,20.16369629,19.24285698
15,764.9285867,0.212480163,04/24/2018 16:37:10,464.8102553,2,1,1.474972606,3.453854799,0.190321687,5.094341213,0,0.637846508,0,0.00030244,0,0,0,0,0:12:44.831,20.76138878,19.24285698
16,1057.425659,0.29372935,04/24/2018 16:42:02,757.307328,2,1,1.473155975,3.504109621,0.310092968,5.162100026,0,1.054615384,0,0.000181017,0,0,0,0,0:17:37.328,21.49498749,19.22969627
17,1357.42678,0.377062994,04/24/2018 16:47:02,1057.308449,2,1,1.474972606,3.539135933,0.432906385,5.220128549,0,1.487232255,0,0.000119217,0,0,0,0,0:22:37.329,21.91200066,19.42336464
18,1657.427425,0.460396507,04/24/2018 16:52:02,1357.309093,2,1,1.473155975,3.572029829,0.555756151,5.262157087,0,1.924003296,0,6.08888E-05,0,0,0,0,0:27:37.329,21.81969833,19.48052979
19,1957.42832,0.543730089,04/24/2018 16:57:02,1657.309989,2,1,1.474972606,3.611015558,0.678625107,5.326149027,0,2.365231205,0,0.000120694,0,0,0,0,0:32:37.330,21.81969833,19.18118477
20,2257.429148,0.627063652,04/24/2018 17:02:02,1957.310817,2,1,1.473155975,3.652742147,0.801459374,5.381058921,0,2.811360112,0,0.000179903,0,0,0,0,0:37:37.331,21.75815773,19.64333725
21,2557.429993,0.71039722,04/24/2018 17:07:02,2257.311661,2,1,1.473155975,3.691727877,0.924291962,5.438490981,0,3.26251074,0,0.000121036,0,0,0,0,0:42:37.332,21.47270393,19.43203926
22,2857.43425,0.793731736,04/24/2018 17:12:02,2557.315918,2,1,1.473155975,3.721880674,1.047129684,5.482910755,0,3.717900992,0,0.000120321,0,0,0,0,0:47:37.336,21.51200485,19.54639435
23,3157.447283,0.87706869,04/24/2018 17:17:02,2857.328952,2,1,1.474972606,3.752338171,1.169975795,5.53459601,0,4.176963424,0,0.000121151,0,0,0,0,0:52:37.349,21.57354355,19.60803604
24,3457.448121,0.960402256,04/24/2018 17:22:02,3157.329789,2,1,1.473155975,3.787364244,1.292799185,5.579378268,0,4.639943415,0,0.000120323,0,0,0,0,0:57:37.350,21.62198639,19.50686646
25,3757.448904,1.043735807,04/24/2018 17:27:02,3457.330572,2,1,1.474972606,3.826958895,1.415641041,5.644659533,0,5.107586821,0,0.000182714,0,0,0,0,1:02:37.351,21.75815773,19.56851959
26,4057.454341,1.12707065,04/24/2018 17:32:02,3757.336009,2,1,1.473155975,3.867162704,1.538464909,5.696933846,0,5.580119746,0,0.000121446,0,0,0,0,1:07:37.356,21.89431953,19.40570068
27,4357.470774,1.210408548,04/24/2018 17:37:02,4057.352443,2,1,1.474972606,3.905234575,1.661337875,5.760114017,0,6.057646241,0,0.000181579,0,0,0,0,1:12:37.372,21.85896683,19.66967773
28,4657.487288,1.293746469,04/24/2018 17:42:02,4357.368956,2,1,1.473155975,3.941783667,1.784177406,5.806862162,0,6.539607684,0,0.000180507,0,0,0,0,1:17:37.389,21.9028244,19.56403732
29,4957.503784,1.377084385,04/24/2018 17:47:02,4657.385453,2,1,1.473155975,3.975591421,1.907019056,5.856666258,0,7.025932093,0,0.000121069,0,0,0,0,1:22:37.406,21.8282032,19.48921394
30,5257.520281,1.4604223,04/24/2018 17:52:02,4957.401949,2,1,1.473155975,4.006658077,2.029863333,5.902432288,0,7.516222144,0,5.99994E-05,0,0,0,0,1:27:37.422,21.67894745,19.33955193
31,5557.53677,1.543760214,04/24/2018 17:57:02,5257.418439,2,1,1.474972606,4.042597771,2.152702437,5.962720968,0,8.010509826,0,0.000121021,0,0,0,0,1:32:37.438,21.59121513,19.55086327
32,5857.553843,1.62709829,04/24/2018 18:02:02,5557.435512,2,1,1.473155975,4.089197636,2.275574597,6.024025931,0,8.509989588,0,0.000118326,0,0,0,0,1:37:37.455,21.60889244,19.34403419
33,6151.314683,1.708698523,04/24/2018 18:06:56,5851.196351,2,1,1.473155975,4.139452457,2.395861886,6.098059122,0,9.004931089,0,0.000181579,0,0,0,0,1:42:31.217,21.56502724,19.37486649
34,6451.319022,1.792033062,04/24/2018 18:11:56,6151.200691,2,1,1.474972606,4.176915169,2.518700168,6.16083545,0,9.515963576,0,0,0,0,0,0,1:47:31.221,21.67044067,19.55535507
35,6751.332127,1.875370035,04/24/2018 18:16:56,6451.213795,2,1,1.473155975,4.198540211,2.641536232,6.185104599,0,10.03041995,0,0,0,0,0,0,1:52:31.234,21.98201942,19.34403419
36,6769.504978,1.880418049,04/24/2018 18:17:14,6469.386646,2,1,1.474972606,4.200062752,2.648996881,6.194977501,0,10.06174887,0,0.000120647,0,0,0,0,1:52:49.407,21.92049408,19.43203926
37,6769.505668,1.880418241,04/24/2018 18:17:14,2.45005E-06,3,1,1.474972606,4.200062752,2.648996881,6.194977501,0,10.06174887,0,0.000120647,0,0,0,0,1:52:49.408,21.92049408,19.43203926
38,6769.521382,1.880422606,04/24/2018 18:17:14,0.015716834,3,1,1.544005871,4.202195168,2.649003622,6.488214009,0,10.0617772,0,0,0,0,0,0,1:52:49.423,21.92049408,19.43203926
39,6784.990971,1.884719714,04/24/2018 18:17:30,15.48530607,3,1,1.493139267,4.201890469,2.655512822,6.274007654,0,10.08912918,0,-5.96316E-05,0,0,0,0,1:53:04.893,21.77124977,19.43203926
40,6815.492634,1.893192398,04/24/2018 18:18:00,45.98696878,3,1,1.442272663,4.202195168,2.667944663,6.060711215,0,10.14136837,0,0,0,0,0,0,1:53:35.395,21.92049408,19.58168793
41,6859.135642,1.905315456,04/24/2018 18:18:44,89.62997656,3,1,1.391406178,4.201890469,2.68512864,5.846536359,0,10.21357639,0,-6.05579E-05,0,0,0,0,1:54:19.038,21.92049408,19.58168793
42,6908.560246,1.919044513,04/24/2018 18:19:33,139.054581,3,1,1.340539575,4.202195168,2.703892265,5.633208922,0,10.29242246,0,0,0,0,0,0,1:55:08.463,21.99510956,19.65650558
43,6960.266251,1.933407292,04/24/2018 18:20:25,190.7605856,3,1,1.289672971,4.202195168,2.722795703,5.419457525,0,10.37185627,0,0,0,0,0,0,1:56:00.168,21.9028244,19.48921394
44,7011.862814,1.947739671,04/24/2018 18:21:17,242.3571486,3,1,1.238806486,4.202195168,2.740937417,5.20570663,0,10.44808901,0,6.01848E-05,0,0,0,0,1:56:51.765,21.99510956,19.65650558
45,7063.521934,1.962089426,04/24/2018 18:22:08,294.0162684,3,1,1.187939882,4.202195168,2.75837297,4.991955233,0,10.52135418,0,6.03706E-05,0,0,0,0,1:57:43.424,21.99510956,19.65650558
46,7116.30606,1.976751683,04/24/2018 18:23:01,346.8003947,3,1,1.137073278,4.202195168,2.77545121,4.778203836,0,10.59311828,0,0,0,0,0,0,1:58:36.208,21.90740585,19.71815109
47,7167.746391,1.991040664,04/24/2018 18:23:53,398.2407254,3,1,1.086206675,4.201890469,2.79135917,4.564121473,0,10.65996459,0,0,0,0,0,0,1:59:27.648,21.77124977,19.65650558
48,7218.483586,2.005134329,04/24/2018 18:24:43,448.9779205,3,1,1.03534019,4.202195168,2.806326248,4.350701543,0,10.72285719,0,0,0,0,0,0,2:00:18.386,22.02586937,19.46286583
49,7267.365927,2.018712757,04/24/2018 18:25:32,497.8602615,3,1,0.984473586,4.201890469,2.820061687,4.136650178,0,10.78057449,0,0,0,0,0,0,2:01:07.268,22.05663109,19.56851959
50,7315.707654,2.032141015,04/24/2018 18:26:21,546.2019883,3,1,0.933607042,4.201890469,2.832964445,3.922914531,0,10.83479236,0,0,0,0,0,0,2:01:55.610,21.90740585,19.49369621
51,7366.33545,2.046204292,04/24/2018 18:27:11,596.8297847,3,1,0.882740438,4.202195168,2.845767208,3.709447603,0,10.88859042,0,5.94504E-05,0,0,0,0,2:02:46.237,21.89431953,19.48052979
52,7414.806914,2.059668587,04/24/2018 18:28:00,645.3012491,3,1,0.831873894,4.201890469,2.857328232,3.495442985,0,10.93717043,0,-6.03708E-05,0,0,0,0,2:03:34.709,21.75815773,19.71815109
53,7465.34101,2.073705836,04/24/2018 18:28:50,695.8353446,3,1,0.781007349,4.202195168,2.868674345,3.28194531,0,10.98484733,0,0,0,0,0,0,2:04:25.243,21.57811928,19.61251259
54,7515.6911,2.087691972,04/24/2018 18:29:40,746.1854343,3,1,0.730140746,4.202195168,2.879261288,3.068193913,0,11.02933444,0,0,0,0,0,0,2:05:15.593,21.75815773,19.49369621
55,7566.987079,2.101940855,04/24/2018 18:30:32,797.4814139,3,1,0.679274201,4.202195168,2.889327103,2.854442767,0,11.07163168,0,0,0,0,0,0,2:06:06.889,21.60889244,19.64333725
56,7621.396337,2.117054538,04/24/2018 18:31:26,851.8906721,3,1,0.628407657,4.202195168,2.899227684,2.64069162,0,11.11323448,0,0,0,0,0,0,2:07:01.298,21.45960617,19.71815109
57,7676.008678,2.132224633,04/24/2018 18:32:21,906.5030131,3,1,0.577541053,4.202195168,2.90838779,2.426940223,0,11.15172586,0,0,0,0,0,0,2:07:55.911,21.38495827,19.64333725
