Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1
266,12358,04/04/17 18:12:36,330,18,1,-0.73,2.94,2.93,2.85,11,10,-0.000295105,0,0,0,0,32
267,12388,04/04/17 18:13:06,360,18,1,-0.73,2.93,2.93,2.86,11,10,-0.00029782,0,0,0,0,31
268,12418,04/04/17 18:13:36,390,18,1,-0.74,2.92,2.93,2.87,11,10,-0.000290573,0,0,0,0,31
269,12448,04/04/17 18:14:06,420,18,1,-0.74,2.91,2.93,2.87,11,10,-0.000359505,0,0,0,0,31
270,12478,04/04/17 18:14:36,450,18,1,-0.74,2.90,2.93,2.88,11,10,-0.000296891,0,0,0,0,30
271,12508,04/04/17 18:15:06,480,18,1,-0.75,2.89,2.93,2.88,11,10,-0.000430212,0,0,0,0,30
272,12539,04/04/17 18:15:36,510,18,1,-0.75,2.87,2.93,2.89,11,10,-0.000361737,0,0,0,0,30
273,12569,04/04/17 18:16:06,540,18,1,-0.75,2.86,2.93,2.90,11,10,-0.000421036,0,0,0,0,29
274,12599,04/04/17 18:16:36,570,18,1,-0.75,2.85,2.93,2.90,11,10,-0.000492916,0,0,0,0,29
275,12628,04/04/17 18:17:06,600,18,1,-0.76,2.84,2.93,2.91,11,10,-0.000460428,0,0,0,0,29
276,12928,04/04/17 18:22:06,300,19,1,0.00,2.93,2.93,2.91,11,10,9.86417E-05,0,0,0,0,26
277,13228,04/04/17 18:27:06,600,19,1,0.00,2.95,2.93,2.91,11,10,-3.26791E-05,0,0,0,0,24
278,13528,04/04/17 18:32:06,900,19,1,0.00,2.95,2.93,2.91,11,10,0,0,0,0,0,22
279,13828,04/04/17 18:37:06,1200,19,1,0.00,2.96,2.93,2.91,11,10,-3.30862E-05,0,0,0,0,21
280,14128,04/04/17 18:42:06,1500,19,1,0.00,2.96,2.93,2.91,11,10,-3.27255E-05,0,0,0,0,20
281,14428,04/04/17 18:47:06,1800,19,1,0.00,2.97,2.93,2.91,11,10,0,0,0,0,0,20
