Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.00361995,0.016667672,10/11/2018 13:02:12,59.92473928,1,1,0,3.509618521,0,0,0,0,0,0,0,0,0,0,0:00:59.925,21.04031563,20.75148964
2,120.0065077,0.033335141,10/11/2018 13:03:12,119.927627,1,1,0,3.509618521,0,0,0,0,0,0,0,0,0,0,0:01:59.928,20.89052773,20.82623482
3,180.0093864,0.050002607,10/11/2018 13:04:12,179.9305058,1,1,0,3.509618521,0,0,0,0,0,0,0,0,0,0,0:02:59.931,21.01328468,20.72477531
4,240.0123301,0.066670092,10/11/2018 13:05:12,239.9334494,1,1,0,3.509618521,0,0,0,0,0,0,0,0,0,0,0:03:59.933,20.86349106,20.87426186
5,300.0152137,0.083337559,10/11/2018 13:06:12,299.936333,1,1,0,3.509618521,0,0,0,0,0,0,0,0,0,0,0:04:59.936,20.87700844,20.73813057
6,300.0933515,0.083359264,10/11/2018 13:06:12,300.0144709,1,1,0,3.509618521,0,0,0,0,0,0,0,0,0,0,0:05:00.014,20.87700844,20.73813057
7,300.109337,0.083363705,10/11/2018 13:06:13,0.015579088,2,1,1.47290802,3.570850134,6.37405E-06,5.259533801,0,2.27608E-05,0,0,0,0,0,0,0:05:00.030,20.93839073,20.79952049
8,372.9565791,0.10359905,10/11/2018 13:07:26,72.86282116,2,1,1.47469306,3.621114969,0.029842969,5.340033114,0,0.107493741,0,0.000423816,0,0,0,0,0:06:12.878,20.86349106,20.5752697
9,541.370946,0.150380818,10/11/2018 13:10:14,241.277188,2,1,1.47469306,3.671379805,0.098821315,5.414158318,0,0.359161767,0,0.000302695,0,0,0,0,0:09:01.292,21.1667347,20.57927132
10,818.1967083,0.227276863,10/11/2018 13:14:51,518.1029504,2,1,1.47469306,3.72164464,0.2122046,5.488283522,0,0.778486395,0,0.000181628,0,0,0,0,0:13:38.118,21.76932716,20.88228607
