Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.00266773,0.016667408,05/04/2018 10:49:09,59.93934908,1,1,0,2.967523098,0,0,0,0,0,0,0,0,0,0,0:00:59.939,19.93242264,20.67223549
2,120.0061724,0.033335048,05/04/2018 10:50:09,119.9428539,1,1,0,2.967523098,0,0,0,0,0,6.08887E-05,0,0,0,0,0:01:59.943,19.8312645,20.4223175
3,180.0092922,0.050002581,05/04/2018 10:51:09,179.9459735,1,1,0,2.967523098,0,0,0,0,0,0,0,0,0,0,0:02:59.946,19.89288521,20.55852509
4,240.0126428,0.066670179,05/04/2018 10:52:09,239.9493242,1,1,0,2.967523098,0,0,0,0,0,0,0,0,0,0,0:03:59.949,19.96767998,20.70774841
5,300.016005,0.083337779,05/04/2018 10:53:09,299.9526864,1,1,0,2.967523098,0,0,0,0,0,0,0,0,0,0,0:04:59.953,20.0556469,20.72077751
6,300.0784987,0.083355139,05/04/2018 10:53:09,300.0151801,1,1,0,2.967523098,0,0,0,0,0,0,0,0,0,0,0:05:00.015,20.0556469,20.72077751
7,300.0944408,0.083359567,05/04/2018 10:53:10,0.015626997,2,1,1.467269778,3.051559687,6.36917E-06,4.477461305,0,1.94359E-05,0,0,0,0,0,0,0:05:00.031,19.99848938,20.73853874
8,308.7049159,0.085751366,05/04/2018 10:53:18,8.626102096,2,1,1.469061852,3.101799011,0.003520719,4.556734598,0,0.010852437,0,0.004269516,0,0,0,0,0:05:08.642,19.96767998,20.78235245
9,324.7521774,0.090208938,05/04/2018 10:53:34,24.67336358,2,1,1.469061852,3.152038097,0.010069702,4.630538923,0,0.031339601,0,0.002783574,0,0,0,0,0:05:24.689,19.77409744,20.51470566
10,346.9095747,0.096363771,05/04/2018 10:53:56,46.83076084,2,1,1.470853925,3.202277422,0.019112846,4.710082314,0,0.06008152,0,0.002027532,0,0,0,0,0:05:46.846,19.92369843,20.58932114
11,377.6144016,0.104892889,05/04/2018 10:54:27,77.53558778,2,1,1.469061852,3.252821207,0.03164488,4.778595545,0,0.100543471,0,0.001443381,0,0,0,0,0:06:17.551,19.95450974,20.62011528
12,421.7262486,0.11714618,05/04/2018 10:55:11,121.6474347,2,1,1.469061852,3.303060293,0.04964894,4.85239987,0,0.159583191,0,0.001028722,0,0,0,0,0:07:01.663,20.20967484,20.65090942
13,486.0891937,0.135024776,05/04/2018 10:56:16,186.0103798,2,1,1.469061852,3.353299618,0.075917793,4.926204545,0,0.24704757,0,0.000667741,0,0,0,0,0:08:06.026,19.97215462,20.63789177
14,581.0163749,0.161393437,05/04/2018 10:57:50,280.937561,2,1,1.469061852,3.403538942,0.11466212,5.00000922,0,0.37800578,0,0.000484134,0,0,0,0,0:09:40.953,20.52638817,20.74329376
15,761.4483355,0.211513427,05/04/2018 11:00:51,461.3695217,2,1,1.469061852,3.453778028,0.188306832,5.073813545,0,0.630735493,0,0.000302553,0,0,0,0,0:12:41.385,21.03642273,20.95407295
16,1053.542795,0.292650776,05/04/2018 11:05:43,753.4639815,2,1,1.469061852,3.504017353,0.307530935,5.14761822,0,1.045585689,0,0.000181656,0,0,0,0,0:17:33.479,21.70875168,21.02866173
17,1353.543944,0.375984429,05/04/2018 11:10:43,1053.46513,2,1,1.469061852,3.540555,0.429985176,5.201294284,0,1.477066714,0,0.000121021,0,0,0,0,0:22:33.481,22.14361954,21.01565552
18,1653.545062,0.459318073,05/04/2018 11:15:43,1353.466248,2,1,1.469061852,3.572220802,0.552426162,5.247813306,0,1.91247882,0,0.000121021,0,0,0,0,0:27:33.482,22.63532066,20.83567619
19,1953.546188,0.542651719,05/04/2018 11:20:43,1653.467374,2,1,1.469061852,3.60967207,0.674858909,5.302831534,0,2.352073946,0,0.000119217,0,0,0,0,0:32:33.483,22.30604553,21.02866173
20,2253.547505,0.625985418,05/04/2018 11:25:43,1953.468691,2,1,1.469061852,3.651385784,0.797320469,5.364111561,0,2.796687375,0,0.000120356,0,0,0,0,0:37:33.484,22.34129906,20.84046173
21,2553.55196,0.709319989,05/04/2018 11:30:43,2253.473146,2,1,1.469061852,3.692490578,0.919779621,5.424497045,0,3.246400485,0,0.00011917,0,0,0,0,0:42:33.488,22.14361954,21.16482162
22,2853.565236,0.79265701,05/04/2018 11:35:43,2553.486423,2,1,1.469061852,3.723852158,1.042215509,5.470569145,0,3.70050356,0,0.000119139,0,0,0,0,0:47:33.502,22.15675163,21.10324669
23,3153.566312,0.875990642,05/04/2018 11:40:43,2853.487498,2,1,1.467269778,3.753386736,1.164711347,5.507230924,0,4.158433126,0,0.000117422,0,0,0,0,0:52:33.503,22.16988754,20.74329376
24,3453.567457,0.959324294,05/04/2018 11:45:43,3153.488643,2,1,1.469061852,3.787184,1.287150123,5.563607539,0,4.620019255,0,5.95849E-05,0,0,0,0,0:57:33.504,22.59144783,21.01565552
25,3753.568562,1.042657934,05/04/2018 11:50:43,3453.489749,2,1,1.469061852,3.825852871,1.409607361,5.620414502,0,5.086121428,0,0.000121021,0,0,0,0,1:02:33.505,22.6791954,20.87947845
26,4053.569803,1.125991612,05/04/2018 11:55:43,3753.49099,2,1,1.469061852,3.865739822,1.532043689,5.679010901,0,5.557022324,0,6.04674E-05,0,0,0,0,1:07:33.507,22.66606903,21.09024048
27,4353.570839,1.209325233,05/04/2018 12:00:43,4053.492026,2,1,1.469061852,3.904104471,1.654517717,5.735370943,0,6.032871252,0,0.000181579,0,0,0,0,1:12:33.507,22.8021698,21.0026474
28,4653.575372,1.292659826,05/04/2018 12:05:43,4353.496559,2,1,1.470853925,3.940032959,1.7769368,5.795212941,0,6.513019804,0,0.000120274,0,0,0,0,1:17:33.512,22.95137596,21.07723236
29,4953.576486,1.375993468,05/04/2018 12:10:43,4653.497672,2,1,1.469061852,3.973830223,1.899414885,5.837802385,0,6.997701322,0,0.000119171,0,0,0,0,1:22:33.513,22.71443748,21.06423378
30,5253.593321,1.459331478,05/04/2018 12:15:43,4953.514507,2,1,1.469061852,4.004278183,2.021882211,5.882532321,0,7.486242394,0,0.000120275,0,0,0,0,1:27:33.530,22.24041367,21.03824234
31,5553.610194,1.542669498,05/04/2018 12:20:43,5253.53138,2,1,1.469061852,4.037466526,2.144351181,5.93128805,0,7.978600311,0,6.04223E-05,0,0,0,0,1:32:33.547,22.55207825,21.12581825
32,5853.626994,1.626007498,05/04/2018 12:25:43,5553.548181,2,1,1.470853925,4.081007481,2.266810941,6.00256587,0,8.475581746,0,0.000119092,0,0,0,0,1:37:33.563,22.44219208,20.94106674
33,6149.640187,1.708233385,05/04/2018 12:30:39,5849.561373,2,1,1.470853925,4.131246567,2.387636922,6.076460227,0,8.971707837,0,0.000178804,0,0,0,0,1:42:29.577,22.50369072,21.0026474
34,6449.641566,1.791567102,05/04/2018 12:35:39,6149.562753,2,1,1.469061852,4.172960281,2.510092315,6.130336757,0,9.480321664,0,6.06901E-05,0,0,0,0,1:47:29.578,22.41593742,20.91505814
35,6749.642568,1.874900713,05/04/2018 12:40:39,6449.563755,2,1,1.470853925,4.19488287,2.632536107,6.170059933,0,9.992713342,0,6.04231E-05,0,0,0,0,1:52:29.579,22.31505775,21.11282349
36,6825.490594,1.89596961,05/04/2018 12:41:55,6525.41178,2,1,1.469061852,4.200058937,2.663507771,6.170146359,0,10.12271153,0,0.000121025,0,0,0,0,1:53:45.427,22.48197937,20.9068718
37,6825.491116,1.895969754,05/04/2018 12:41:55,2.18505E-06,3,1,1.469061852,4.200058937,2.663507771,6.170146359,0,10.12271153,0,0.000121025,0,0,0,0,1:53:45.428,22.48197937,20.9068718
38,6825.51891,1.895977475,05/04/2018 12:41:55,0.027796278,3,1,1.51923883,4.201886177,2.663519501,6.383668638,0,10.12276081,0,0,0,0,0,0,1:53:45.455,22.48197937,20.9068718
39,6849.317143,1.902588095,05/04/2018 12:42:19,23.82602951,3,1,1.469061852,4.201581478,2.673373853,6.172383065,0,10.1641649,0,0,0,0,0,0,1:54:09.254,22.51273727,20.86307907
40,6891.178846,1.914216346,05/04/2018 12:43:00,65.68773196,3,1,1.418884873,4.201581478,2.690170044,5.961560404,0,10.23473587,0,-6.05579E-05,0,0,0,0,1:54:51.116,22.63577843,21.06088448
41,6946.103853,1.929473292,05/04/2018 12:43:55,120.612739,3,1,1.368707895,4.201581478,2.711450051,5.750737742,0,10.32414622,0,-6.06006E-05,0,0,0,0,1:55:46.040,22.75425148,21.0300808
42,7002.903895,1.945251082,05/04/2018 12:44:52,177.4127814,3,1,1.318531036,4.201581478,2.732672683,5.539915581,0,10.41331539,0,0,0,0,0,0,1:56:42.841,22.78500938,21.06088448
43,7061.738796,1.96159411,05/04/2018 12:45:51,236.2476821,3,1,1.268354058,4.201581478,2.753837063,5.329092919,0,10.5022398,0,0,0,0,0,0,1:57:41.675,22.71039581,21.13546562
44,7120.394878,1.977887466,05/04/2018 12:46:50,294.903764,3,1,1.21817708,4.201581478,2.77411815,5.118270257,0,10.58745316,0,0,0,0,0,0,1:58:40.332,22.85961723,20.98629761
45,7176.679301,1.993522028,05/04/2018 12:47:46,351.1881872,3,1,1.168000102,4.201581478,2.792795834,4.907447595,0,10.66592948,0,0,0,0,0,0,1:59:36.616,22.39879417,21.04790497
46,7232.24493,2.008956925,05/04/2018 12:48:42,406.753816,3,1,1.117823243,4.201581478,2.810467822,4.696625434,0,10.74018037,0,0,0,0,0,0,2:00:32.182,22.54805565,21.19706535
47,7287.466757,2.024296321,05/04/2018 12:49:37,461.9756431,3,1,1.067646265,4.201581478,2.827255868,4.485802772,0,10.81071735,0,-6.03705E-05,0,0,0,0,2:01:27.403,22.6842041,21.18409348
48,7340.219734,2.038949926,05/04/2018 12:50:29,514.7286205,3,1,1.017469287,4.201581478,2.842552455,4.27498011,0,10.87498787,0,0,0,0,0,0,2:02:20.156,22.6095829,21.40780067
49,7391.022968,2.053061936,05/04/2018 12:51:20,565.5318547,3,1,0.967292368,4.201581478,2.856580324,4.064157699,0,10.93392793,0,-5.95915E-05,0,0,0,0,2:03:10.960,22.38569641,21.10951614
50,7441.307048,2.067029736,05/04/2018 12:52:11,615.8159349,3,1,0.91711539,4.201581478,2.869764413,3.853335037,0,10.98932258,0,0,0,0,0,0,2:04:01.244,22.66653824,21.09168625
51,7491.275104,2.080909751,05/04/2018 12:53:01,665.7839908,3,1,0.866938412,4.201581478,2.882170558,3.642512375,0,11.04144862,0,0,0,0,0,0,2:04:51.212,22.54805565,21.12248802
52,7540.949769,2.094708269,05/04/2018 12:53:50,715.4586558,3,1,0.816761494,4.201581478,2.893805834,3.431689964,0,11.09033573,0,0,0,0,0,0,2:05:40.886,22.39879417,21.19706535
53,7590.546318,2.108485088,05/04/2018 12:54:40,765.0552047,3,1,0.766584516,4.201886177,2.904728256,3.22110088,0,11.13622758,0,6.05578E-05,0,0,0,0,2:06:30.483,22.28028488,21.07871056
54,7640.127325,2.12225759,05/04/2018 12:55:29,814.6362114,3,1,0.716407597,4.201886177,2.914956715,3.010263179,0,11.17920362,0,6.03692E-05,0,0,0,0,2:07:20.064,22.32415581,21.12248802
55,7691.395735,2.136498815,05/04/2018 12:56:21,865.9046208,3,1,0.666230619,4.201581478,2.92481798,2.799222229,0,11.22063698,0,0,0,0,0,0,2:08:11.332,22.29338646,21.09168625
56,7743.648671,2.15101352,05/04/2018 12:57:13,918.1575573,3,1,0.6160537,4.201581478,2.934140864,2.588399817,0,11.25980841,0,0,0,0,0,0,2:09:03.585,22.24951172,21.04790497
57,7797.295723,2.165915479,05/04/2018 12:58:07,971.8046092,3,1,0.565876722,4.201886177,2.942966139,2.377749578,0,11.2968889,0,6.01438E-05,0,0,0,0,2:09:57.232,22.16176224,20.81115341
58,7855.139368,2.181983158,05/04/2018 12:59:04,1029.648254,3,1,0.515699804,4.201581478,2.951683135,2.166754744,0,11.33351449,0,-6.05981E-05,0,0,0,0,2:10:55.076,22.13098717,21.1532917
