Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.00840906,0.016669003,10/11/2018 13:01:02,59.97163328,1,1,0,2.860815287,0,0,0,0,0,0,0,0,0,0,0:00:59.972,21.14064217,21.35442352
2,120.0114234,0.033336507,10/11/2018 13:02:03,119.9746479,1,1,0,2.861119747,0,0,0,0,0,0,0,0,0,0,0:01:59.975,21.07927132,20.92015839
3,180.0141197,0.050003922,10/11/2018 13:03:03,179.9773439,1,1,0,2.861119747,0,0,0,0,0,0,0,0,0,0,0:02:59.977,21.21089363,20.60426712
4,240.0169867,0.066671385,10/11/2018 13:04:03,239.980211,1,1,0,2.861119747,0,0,0,0,0,0,0,0,0,0,0:03:59.980,21.15383148,20.99474907
5,300.019963,0.083338879,10/11/2018 13:05:03,299.9831873,1,1,0,2.861424446,0,0,0,0,0,0,0,0,0,0,0:04:59.983,21.066082,20.75774956
6,300.0511906,0.083347553,10/11/2018 13:05:03,300.0144149,1,1,0,2.861424446,0,0,0,0,0,0,0,0,0,0,0:05:00.014,21.066082,20.75774956
7,300.0671372,0.083351983,10/11/2018 13:05:03,0.015632224,2,1,1.470311642,2.927507639,6.38451E-06,4.304348563,0,1.86907E-05,0,0,0,0,0,0,0:05:00.030,21.066082,20.45929718
8,307.0206046,0.085283501,10/11/2018 13:05:10,6.969099547,2,1,1.473995328,2.977755547,0.002851467,4.389197763,0,0.008435139,0,0.005551107,0,0,0,0,0:05:06.984,20.85556221,20.69635773
9,320.1931402,0.088942539,10/11/2018 13:05:23,20.1416352,2,1,1.473995328,3.028003216,0.008242422,4.463262593,0,0.02463205,0,0.00338942,0,0,0,0,0:05:20.156,20.99151611,20.53391647
10,339.1159292,0.094198869,10/11/2018 13:05:42,39.06442418,2,1,1.472153544,3.078250885,0.015986223,4.531657951,0,0.048285928,0,0.002353173,0,0,0,0,0:05:39.079,21.20201492,20.59532166
11,366.335962,0.101759989,10/11/2018 13:06:09,66.28445697,2,1,1.472153544,3.128498554,0.027125905,4.605630235,0,0.082871892,0,0.001634177,0,0,0,0,0:06:06.299,21.24157524,20.9333725
12,403.275221,0.112020895,10/11/2018 13:06:46,103.223716,2,1,1.473995328,3.178746223,0.042242407,4.685457082,0,0.130560038,0,0.001210504,0,0,0,0,0:06:43.238,21.30293655,20.69635773
13,450.2930858,0.125081413,10/11/2018 13:07:33,150.2415808,2,1,1.472153544,3.228994131,0.061484317,4.753575155,0,0.192221316,0,0.001028972,0,0,0,0,0:07:30.256,21.36429596,20.75774956
14,508.2958711,0.141193298,10/11/2018 13:08:31,208.2443661,2,1,1.473995328,3.2792418,0.085222494,4.833587093,0,0.269484689,0,0.000784398,0,0,0,0,0:08:28.259,21.20201492,20.96833229
15,579.1586419,0.160877401,10/11/2018 13:09:42,279.1071369,2,1,1.473995328,3.32948947,0.114222728,4.907651923,0,0.365335712,0,0.000655583,0,0,0,0,0:09:39.122,21.48701859,20.43287849
16,673.4914643,0.187080962,10/11/2018 13:11:17,373.4399593,2,1,1.472153544,3.379737139,0.152829361,4.975492008,0,0.494894983,0,0.000481179,0,0,0,0,0:11:13.455,21.41248131,20.95512962
17,833.7646215,0.231601284,10/11/2018 13:13:57,533.7131164,2,1,1.473995328,3.429984808,0.218423142,5.055781582,0,0.718403061,0,0.000301665,0,0,0,0,0:13:53.728,22.0743351,20.94624329
