  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   7.750   1.1711   0.01368   0.00672  -0.0682   0.1673   1.0000
   8.000   1.1893   0.01434   0.00723  -0.0668   0.1425   1.0000
   8.250   1.2079   0.01495   0.00775  -0.0654   0.1226   1.0000
   8.500   1.2263   0.01555   0.00827  -0.0641   0.1069   1.0000
   8.750   1.2447   0.01613   0.00879  -0.0627   0.0945   1.0000
   9.000   1.2631   0.01664   0.00927  -0.0614   0.0862   1.0000
   9.250   1.2801   0.01718   0.00980  -0.0597   0.0790   1.0000
   9.500   1.2976   0.01768   0.01031  -0.0582   0.0727   1.0000
   9.750   1.3142   0.01825   0.01088  -0.0567   0.0664   1.0000
  10.000   1.3292   0.01893   0.01152  -0.0549   0.0579   1.0000
  10.250   1.3418   0.01976   0.01228  -0.0529   0.0443   1.0000
  10.500   1.3427   0.02137   0.01370  -0.0496   0.0187   1.0000
  10.750   1.3533   0.02238   0.01473  -0.0476   0.0158   1.0000
  11.000   1.3658   0.02327   0.01569  -0.0459   0.0144   1.0000
  11.250   1.3779   0.02422   0.01670  -0.0442   0.0135   1.0000
  11.500   1.3886   0.02530   0.01785  -0.0425   0.0127   1.0000
  11.750   1.3978   0.02651   0.01915  -0.0408   0.0120   1.0000
  12.000   1.4091   0.02761   0.02032  -0.0394   0.0116   1.0000
  12.250   1.4190   0.02884   0.02164  -0.0380   0.0111   1.0000
  12.500   1.4278   0.03019   0.02307  -0.0367   0.0106   1.0000
  12.750   1.4352   0.03171   0.02467  -0.0353   0.0102   1.0000
  13.000   1.4405   0.03347   0.02651  -0.0340   0.0098   1.0000
  13.250   1.4428   0.03556   0.02870  -0.0327   0.0095   1.0000
  13.500   1.4483   0.03742   0.03066  -0.0318   0.0093   1.0000
  13.750   1.4528   0.03945   0.03278  -0.0309   0.0090   1.0000
  14.000   1.4556   0.04169   0.03512  -0.0302   0.0088   1.0000
  14.250   1.4571   0.04415   0.03769  -0.0296   0.0086   1.0000
  14.500   1.4575   0.04682   0.04046  -0.0291   0.0084   1.0000
  14.750   1.4566   0.04972   0.04346  -0.0288   0.0082   1.0000
  15.000   1.4546   0.05285   0.04671  -0.0287   0.0081   1.0000
  15.250   1.4516   0.05626   0.05023  -0.0289   0.0079   1.0000
  15.500   1.4473   0.05992   0.05400  -0.0292   0.0078   1.0000
  15.750   1.4415   0.06390   0.05809  -0.0298   0.0077   1.0000
  16.000   1.4342   0.06821   0.06252  -0.0306   0.0076   1.0000
  16.250   1.4250   0.07294   0.06736  -0.0317   0.0075   1.0000
  16.500   1.4137   0.07807   0.07262  -0.0330   0.0074   1.0000
  16.750   1.4010   0.08355   0.07821  -0.0346   0.0073   1.0000
